,lat 0,lon 1,time 2,agb 3,pft_fracCover 4,sm 5,pftCrop 6,pftHerb 7,pftShrubBD 8,pftShrubNE 9,pftTreeBD 10,pftTreeBE 11,pftTreeND 12,pftTreeNE 13,GDP 14,ign 15,Distance_to_populated_areas 16,fPAR 17,LAI 18,NLDI 19,vod_K_anomalies 20,FPAR_12mon 21,LAI_12mon 22,Vod_k_anomaly_12mon 23,FPAR_06mon 24,LAI_06mon 25,Vod_k_anomaly_06mon 26,WDPA_fracCover 27,dtr 28,pet 29,tmx 30,wet 31,Biome 32,precip 33,Livestock 34,road_density 35,topo 36,pop_density 37
lat 0,1.0,-0.057386030782083104,8.919487139133567e-12,-0.26248252619337364,-0.19361715593585135,0.03199411174784818,-0.13345775187434006,0.02402520846236693,-0.19806288653449042,0.0255731136322806,-0.059929753777618444,-0.3466017923229203,0.2539326597110801,0.2744834871446372,0.3674528386879698,-0.14960239807044864,0.24627816195230579,-0.3262516104102252,-0.3541398746449423,-0.1102454632071744,0.06360058001093162,-0.39386057271544617,-0.37892180789629776,0.01507644897665,-0.39386057271544617,-0.37892180789629776,0.01507644897665,0.00943524367919091,-0.24925240732862752,-0.5373652892523849,-0.6631127935608806,0.13164058346040472,0.2618676715006319,-0.2532885109078348,-0.20826311090623834,-0.05446564288309108,-0.020564277321241425,-0.029221755467318887
lon 1,-0.057386030782083104,1.0,-1.2013391870432024e-13,-0.12091707434259888,0.04836692854649833,0.12760583445683804,0.053559334514030256,0.08740888998752337,0.1317951941822278,-0.02172488966943569,0.014846644111884116,-0.08311059327960953,0.34776191133072387,-0.2240649856456734,-0.056225390900382005,0.016559297083121705,-0.10097547423845886,-0.02413565684511497,-0.0494435714256283,0.12411786377091347,0.03613053019207717,-0.02211614294866506,-0.046877061971231315,0.042089732864030144,-0.02211614294866506,-0.046877061971231315,0.042089732864030144,-0.10574070422036896,0.008839106988148404,0.08538591993224573,0.03165711880209335,-0.01046244839888271,-0.13164171242701692,-0.04034899485799996,0.02544310262181515,-0.016356846866231428,0.012568215833909673,0.04759345908796756
time 2,8.919487139133567e-12,-1.2013391870432024e-13,1.0,-5.1946963517903755e-12,-0.00015735257049807031,0.006594652417838629,-0.00025969424484524617,0.0002771455495913756,0.00013570424144960377,0.00017618585277291615,0.00020468740757484228,-5.414285259779476e-05,-0.0002597106123175347,-0.00026113387584086325,0.0014249729932405979,0.0023541941775093657,-0.005388942639859162,0.02844979655640666,0.023463914699595193,-8.431601405488152e-12,-0.022094128152025546,0.031911978490766,0.024707322448980246,-0.027558319806954376,0.031911978490766,0.024707322448980246,-0.027558319806954376,-2.2706636965680394e-12,0.005215680183927909,0.027744817674808377,0.036764974488412254,0.004304291385394238,-2.8463929897816026e-13,0.0018788122017714085,3.511537906166978e-12,4.080728620572099e-12,3.681541664204775e-14,0.0017007841197475629
agb 3,-0.26248252619337364,-0.12091707434259888,-5.1946963517903755e-12,1.0,0.15984600522908207,-0.18541348064737428,-0.054122526111108744,-0.12216943459351925,-0.020257705500460587,-0.12437039359232606,-0.027667909443927968,0.5976767116280898,-0.0757807168108124,-0.10578903558203481,-0.13877154075257844,0.05282274462613912,-0.08031135587759852,0.28835347388731336,0.4340779150238646,0.07401415168345672,-0.050454158954650545,0.3043479619013261,0.43457500836435853,-0.04275354462731152,0.3043479619013261,0.43457500836435853,-0.04275354462731152,0.10466287102969798,-0.08117181514451009,0.07305165156886897,0.21554895191312312,0.18023007355764023,-0.11147495670628516,0.3133571983365698,-0.0027415284642063925,-0.012890570425558578,0.012791929803175962,-0.011672162210077865
pft_fracCover 4,-0.19361715593585135,0.04836692854649833,-0.00015735257049807031,0.15984600522908207,1.0,0.5033160507571267,0.4004977633179302,0.3353458646876321,0.3966122476414177,0.42966364323481226,0.3438452041346902,0.28162258375695126,0.1972811847642068,0.2757259322380406,-0.13382212812260674,0.1191811877775423,-0.43656148662217786,0.6138426090897088,0.5193887476864191,0.03290913085757594,0.03140178475377915,0.5255572124725659,0.4813574266605026,-0.013346728722872889,0.5255572124725659,0.4813574266605026,-0.013346728722872889,-0.09096968596577154,-0.1319183443721907,-0.08917918893368358,0.136864684742338,0.33557625740595554,-0.4497746687319123,0.31457086810608126,0.23043819041717226,0.08067105448835268,0.16457670901358745,0.05982050410213317
sm 5,0.03199411174784818,0.12760583445683804,0.006594652417838629,-0.18541348064737428,0.5033160507571267,1.0,0.25194902118628715,0.3149322017301069,0.17630368003114605,0.35665523837789453,0.2330498351644666,-0.18558626023057953,0.12681126297600961,0.2849324298375108,0.030479547897124846,-0.01752741067841134,-0.2968878961480866,0.26586581487267275,0.10624365488489665,0.0010955085764934795,0.08317034333354058,0.16816817934868356,0.06798667663446627,0.04007675727304103,0.16816817934868356,0.06798667663446627,0.04007675727304103,-0.17102503782442202,-0.23562300634576716,-0.18479680081640285,-0.06154820543442686,0.2611988931500669,-0.35085310497352556,0.16379911317329673,0.1369240164767351,0.11590999241672703,0.13113711387404103,0.0679895901464576
pftCrop 6,-0.13345775187434006,0.053559334514030256,-0.00025969424484524617,-0.054122526111108744,0.4004977633179302,0.25194902118628715,1.0,-0.20377332807367715,-0.2101266683375851,-0.19710885121404942,-0.028787893099182314,-0.0784852686305258,-0.14715767463968737,-0.17356299447677645,-0.18820154675919343,0.06310875373885302,-0.28144768618358673,0.1934116048646802,0.10169664301067655,-0.24016341891106652,0.012608803709547279,0.19991004356330422,0.10793576687186304,0.021111243386901034,0.19991004356330422,0.10793576687186304,0.021111243386901034,-0.14973792512599268,-0.022306921010919013,0.10891638077001074,0.20951865975739006,0.01522400514367641,-0.14473715797505618,0.0906221630783475,0.45804838864051034,0.19904367044068244,0.04832639934509666,0.17437160445113906
pftHerb 7,0.02402520846236693,0.08740888998752337,0.0002771455495913756,-0.12216943459351925,0.3353458646876321,0.3149322017301069,-0.20377332807367715,1.0,0.22932841611121912,0.2780060015823346,0.12774201245068115,-0.2418959783355582,0.13723971152586403,0.07917503385186167,0.0909258511981407,0.04898686448216242,-0.12711060274531308,0.04643932283319907,-0.06399140762327309,0.14727661952450066,0.04580707295292427,0.00045366576362337435,-0.08006108603322701,0.03422276796359498,0.00045366576362337435,-0.08006108603322701,0.03422276796359498,-0.09635388854553806,-0.023479070621602424,-0.11340254901016891,-0.12567445420647477,0.03663814342822465,-0.19121294751230708,-0.0658503900870545,-0.019227894995976394,-0.024940389572005423,0.1013457144056286,-0.048765665556899505
pftShrubBD 8,-0.19806288653449042,0.1317951941822278,0.00013570424144960377,-0.020257705500460587,0.3966122476414177,0.17630368003114605,-0.2101266683375851,0.22932841611121912,1.0,0.6282694292309997,0.18124680591915632,-0.04202299835554103,0.28286450433206095,0.020813803575329207,0.03533399364802692,0.10435093838827351,-0.14282028189870058,0.16738025986424251,0.09713645611392313,0.1706399547430673,0.035848179464482224,0.1517826119805177,0.091499007663724,0.023328316044752755,0.1517826119805177,0.091499007663724,0.023328316044752755,0.0071284656470833475,0.0562099057268696,0.014569357858739394,0.056758436518427796,0.062160095777175024,-0.17218115791892177,0.032682926788568475,-0.06413734755064586,-0.056838842663661196,0.09202639570878884,-0.05045476760086827
pftShrubNE 9,0.0255731136322806,-0.02172488966943569,0.00017618585277291615,-0.12437039359232606,0.42966364323481226,0.35665523837789453,-0.19710885121404942,0.2780060015823346,0.6282694292309997,1.0,0.07600355228226753,-0.1708856810581059,0.25722571929606614,0.45084870283539186,0.1277644921449524,0.02087190997749528,-0.13260603238730898,0.16048990169699928,0.04198441526315644,0.13421550795135212,0.041044353275088125,0.09234562962700155,0.014251030994830398,-0.005431040874753827,0.09234562962700155,0.014251030994830398,-0.005431040874753827,-0.03281889457506831,-0.03677280813711068,-0.12353752475627823,-0.07999606030886676,0.13581708527916067,-0.1988606715995499,-0.004060367724776741,-0.05955215612811592,-0.042566004331577895,0.10355448142265827,-0.0469566228630682
